l_ukrainian:
 EARLDOM:0 "Ерлство"
 O_KANNUSHI:0 "О'Каннусі"
 RABBI:0 "Рабин"
 GREAT_RABBI:0 "Великий рабин"
 GRAND_RABBI:0 "Вищий рабин"
 KOHEN_GADOL:0 "Коен-гадоль"
 IMAMATE:0 "Імамат"
 GREAT_IMAMATE:0 "Великий імамат"
 HIGH_IMAMATE:0 "Верховний імамат"
 IMAM:0 "Імам"
 GREAT_IMAM:0 "Великий імам"
 HIGH_IMAM:0 "Верховний імам"
 PRIEST:0 "Жрець"
 PRIESTESS:0 "Жриця"
 HIGH_PRIEST:0 "Верховний жрець"
 HIGH_PRIESTESS:0 "Верховна жриця"
 PRINCEDOM:0 "Князівство"
 GRAND_PRINCEDOM:0 "Велике князівство"
 GREAT_PRINCEDOM:0 "Ясновельможне князівство"
 DOGE:0 "Дож"
 DOGARESSA:0 "Догаресса"
 GREAT_DOGE:0 "Великий дож"
 GREAT_DOGARESSA:0 "Велика догаресса"
 GONFALONIERE:0 "Гонфалоньер"
 WILLAQ_UMU:0 "Вілак Уму"
 MICHOQ:0 "Мічок"
 SARPAY:0 "Сарпай"
 PARAMOUNT_PRIEST:0 "Перший жрець"
 PARAMOUNT_PRIESTESS:0 "Перша жриця"
 MONASTIC_ORDER:0 "Чернечий орден"
 SOVREIGN_MONASTIC_ORDER:0 "Суверенний чернечий орден"
 SOVREIGN_MONASTIC_CONFEDERATION:0 "Суверенна чернеча конфедерація"
 MASTER:0 "Магістр"
 MISTRESS:0 "Магістр"
 GRAND_MASTER:0 "Великий магістр"
 GRAND_MISTRESS:0 "Великий магістр"
 SUPREME_GRAND_MASTER:0 "Магістр-Вседержитель"
 SUPREME_GRAND_MISTRESS:0 "Магістр-Вседержитель"
 LANDMEISTER:0 "Ландмейстер"
 HOCHMEISTER:0 "Гохмейстер"
 SERENE_DOGE:0 "Ясновельможний дож"
 SERENE_DOGARESSA:0 "Ясновельможна догаресса"
 SERENE_REPUBLIC:0 "Ясновельможна республіка"
 GRAND_REPUBLIC:0 "Велика республіка"
 GREAT_REPUBLIC:0 "Велика республіка"
 CONSUL:0 "Консул"
 CONSULESS:0 "Консул"
 GRAND_CONSUL:0 "Великий консул"
 GRAND_CONSULESS:0 "Великий консул"
 GREAT_CONSUL:0 "Великий консул"
 GREAT_CONSULESS:0 "Великий консул"
 ALTEPETL:0 "Альтепетль"
 ALTEPETL_FEDERATION:0 "Альтепетльська федерація"
 CUAUHTLAHTOANI:0 "Куатлатоані"
 CIHUATLAHTOANI:0 "Кіхуатлатоані"
 TLATOANI:0 " Тлатоані"
 HUEHUETLATOANI:0 "Хуей-тлатоані"
 CAH:0 "Ках"
 KUCHKABAL:0 "Кучкабаль"
 GREAT_LEAGUE:0 "Велика ліга"
 NACOM:0 "Наком"
 HALACH_UINIK:0 "Халач уінік"
 K_UHUL_AJAW:0 "Кухуль ахав"
 KURAKA:0 "Курака"
 APU:0 "Апу"
 SAPA_INKA:0 "Сапа Інка"
 ARCHDUCHY:0 "Ерцгерцогство"
 ARCHDUKE:0 "Ерцгерцог"
 ARCHDUCHESS:0 "Ерцгерцогиня"
 ARCHKING:0 "Ерцкороль"
 VIZIER:0 "Візир"
 GRANDVIZIER:0 "Великий візир"
 GRANDVIZIER_fem:0 "Великий візир"
 PAPACY:0 "Папство"
 POPE:0 "Папа"
 POPETTE:0 "Папесса"
 GRAND_PENSIONARY:0 "Великий пенсіонарій"
 STADTHOLDER:0 "Статхаудер"
 STADTHOLDERESS:0 "Статхаудтресса"
 GREAT_STADTHOLDER:0 "Головний статхаудер"
 GREAT_STADTHOLDERESS:0 "Головна статхаудтресса"
 COLONIAL_PROVINCE:0 "Колоніальна провінція"
 COLONY:0 "Колонія"
 DOMINION:0 "Домініон"
 LIEUTENANT_GOVERNOR:0 "Лейтенант-губернатор"
 LIEUTENANT_GOVERNESS:0 "Лейтенант-губернатор"
 GOVERNOR:0 "Губернатор"
 GOVERNESS:0 "Губернатор"
 GOVERNOR_GENERAL:0 "Генерал-губернатор"
 GOVERNESS_GENERAL:0 "Генерал-губернатор"
 CAPTAINCY:0 "Капітанство"
 VICEROYALTY:0 "Віце-королівство"
 CAPTAIN_GENERAL:0 "Генерал-капітанство"
 VICEROY:0 "Віце-король"
 VICEREINE:0 "Віце-королева"
 NAWABATE:0 "Навабат"
 NIZAMATE:0 "Нізамат"
 NAWAB:0 "Наваб"
 NAWAB_BEGUM:0 "Наваб-бегум"
 NIZAM:0 "Нізам"
 NIZAM_BEGUM:0 "Нізам-бегум"
 SULTANA_BEGUM:0 "Султана-бегум"
 PADISHAH_BEGUM:0 "Падишах-бегум"
 SULTAN_CONSORT:0 "Султан-консорт"
 PADISHAH_CONSORT:0 "Падишах-консорт"
 MIRZA:0 "Мурза"
 NIZAMZADA:0 "Нізамзада"
 NAWABZADA:0 "Набобзада"
 SHAHDOKHT:0 "Shahdokht"
 CHANCELOR:0 "Канцлер"
 SPEAKER:0 "Speaker"
 PRESIDENT:0 "Президент"
 BURGMEISTER:0 "Bürgermeister"
 SYNDIC:0 "Синдик"
 GRAND_SYNDIC:0 "Grand Syndic"
 LORD:0 "Лорд"
 LADY:0 "Леді"
 PRINCE:0 "Prince"
 CONSORT:0 "Консорт"
 PRINCESS:0 "Princess"
 GREAT_PRINCE:0 "Great Prince"
 GREAT_PRINCESS:0 "Great Princess"
 GRAND_PRINCE:0 "Grand Prince"
 GRAND_PRINCESS:0 "Grand Princess"
 GREAT_PRINCIPALITY:0 "Great Principality"
 COUNCILOR:0 "Радник"
 GRAND_COUNCILOR:0 "Grand Councilor"
 HIGH_COUNCILOR:0 "High Councilor"
 MARCH:0 "Марка"
 MARGRAVE:0 "Маркграф"
 MARGRAVINE:0 "Маркграфиня"
 MARGRAVE_CONSORT:0 "Маркграф-консорт"
 VICEROY_CONSORT:0 "Віце-король-консорт"
 ARCHDUKE_CONSORT:0 "Archduke-Consort"
 GRAND_DUKE_CONSORT:0 "Grand Duke-Consort"
 KING_CONSORT:0 "King-Consort"
 EMPEROR_CONSORT:0 "Emperor-Consort"
 RECTOR:0 "Rector"
 RECTORA:0 "Rectora"
 GRAND_RECTOR:0 "Grand Rector"
 GRAND_RECTORA:0 "Grand Rectora"
 GREAT_RECTOR:0 "Great Rector"
 GREAT_RECTORA:0 "Great Rectora"
 KEFALIJA:0 "Kefalija"
 DUZHD:0 "Duzhd"
 PRINC:0 "Princ"
 PRINCEZA:0 "Princeza"
 VOJVODA:0 "Vojvoda"
 VOJVODKINJA:0 "Vojvodkinja"
 KRALJ:0 "Kralj"
 KRALJICA:0 "Kraljica"
 CAR:0 "Car"
 CARICA:0 "Carica"
 SHOGUNATE:0 "Shogunate"
 SHOGUN:0 "Shogun"
 SHOGUNESS:0 "Shoguness"
 DOMAIN:0 "Domain"
 GRAND_DOMAIN:0 "Grand Domain"
 GREAT_DOMAIN:0 "Great Domain"
 DAIMYO:0 "Daimyo"
 GRAND_DAIMYO:0 "Grand Daimyo"
 GREAT_DAIMYO:0 "Great Daimyo"
 NAYAK:0 "Nayak"
 NAYAKA:0 "Nayaka"
 BEILE:0 "Beile"
 GEGE:0 "Gege"
 JUNWANG:0 "Junwang"
 HETMANATE:0 "Hetmanate"
 GRAND_HETMANATE:0 "Grand Hetmanate"
 GREAT_HETMANATE:0 "Great Hetmanate"
 ATAMAN:0 "Ataman"
 HETMAN:0 "Hetman"
 GREAT_HETMAN:0 "Great Hetman"
 GROSSMEISTER:0 "Großmeister"
 VOIVODE:0 "Voivode"
 DESPOT:0 "Despot"
 BAN_TITLE:0 "Ban"
 AUTOKRATOR:0 "Autokrator"
 AUTOKRATEIRA:0 "Autokrateira"
 DESPOTATE:0 "Despotate"
 DESPOTISSA:0 "Despotissa"
 BASILEUS:0 "Basileus"
 BASILISSA:0 "Basilissa"
 MBRET:0 "Mbret"
 GRAND_DUKE:0 "Grand Duke"
 GRAND_DUCHESS:0 "Grand Duchess"
 GRAND_DUCHY:0 "Grand Duchy"
 JAM:0 "Jam"
 GRAND_JAM:0 "Grand Jam"
 GREAT_JAM:0 "Great Jam"
 GERAD:0 "Gerad"
 RAS:0 "Ras"
 LE_ELT:0 "Le'elt"
 ABETO:0 "Abeto"
 JANHOY:0 "Janhoy"
 NEGUS:0 "Negus"
 NIGIST:0 "Nigist"
 NEGUSA_NEGAST:0 "Negusa Nagast"
 NIGISTE_NIGIST:0 "Nigiste Nigist"
 ITEGE:0 "Itege"
 NOMARCH:0 "Nomarch"
 PHARAOH:0 "Pharaoh"
 GREAT_PHARAOH:0 "Great Pharaoh"
 HEGEMON:0 "Hegemon"
 TYRANT:0 "Tyrant"
 REX:0 "Rex"
 REGINA:0 "Regina"
 IMPERATOR:0 "Imperator"
 IMPERATRIX:0 "Imperatrix"
 FAAMA:0 "Faama"
 GRAND_FAAMA:0 "Grand Faama"
 MANSA:0 "Mansa"
 GREAT_MANSA:0 "Great Mansa"
 KHEDIVE:0 "Khedive"
 SHARIFATE:0 "Sharifate"
 GRAND_SHARIFATE:0 "Sharifate"
 GREAT_SHARIFATE:0 "Sharifate"
 SHARIF:0 "Sharif"
 GRAND_SHARIF:0 "Grand Sharif"
 GREAT_SHARIF:0 "Great Sharif"
 MAYOR:0 "Mayor"
 MAYORESS:0 "Mayoress"
 BISHOP_ELECTOR:0 "Bishop-Elector"
 ARCHBISHOP_ELECTOR:0 "Archbishop-Elector"
 PATRIARCH_ELECTOR:0 "Patriarch-Elector"
 MATRIARCH_ELECTOR:0 "Matriarch-Elector"
 PRINCE_ELECTOR:0 "Prince-Elector"
 PRINCESS_ELECTOR:0 "Princess-Elector"
 KING_ELECTOR:0 "King-Elector"
 QUEEN_ELECTOR:0 "Queen-Elector"
 ARCHBISHOP_ELECTOR_fem:0 "Archbishop-Elector"
 BISHOP_fem:0 "Bishop"
 ARCHBISHOP_fem:0 "Archbishop"
 ATAMAN_fem:0 "Ataman"
 ELDER_fem:0 "Elder"
 HIGH_ELDER_fem:0 "High Elder"
 PARAMOUNT_ELDER_fem:0 "Paramount Elder"
 BISHOP_ELECTOR_fem:0 "Bishop-Elector"
 CHANCELOR_fem:0 "Chancelor"
 COUNCILOR_fem:0 "Councilor"
 GRAND_COUNCILOR_fem:0 "Grand Councilor"
 HIGH_COUNCILOR_fem:0 "High Councilor"
 GONFALONIERE_fem:0 "Gonfaloniere"
 HEGEMON_fem:0 "Hegemon"
 HETMAN_fem:0 "Hetman"
 GREAT_HETMAN_fem:0 "Great Hetmanate"
 JAM_fem:0 "Jam"
 GRAND_JAM_fem:0 "Grand Jam"
 GREAT_JAM_fem:0 "Great Jam"
 SHARIFA:0 "Sharifa"
 GRAND_SHARIFA:0 "Grand Sharifa"
 GREAT_SHARIFA:0 "Great Sharifa"
 GREAT_MANSA_fem:0 "Great Mansa"
 GRAND_PENSIONARY_fem:0 "Grand Pensionary"
 PHARAOH_fem:0 "Pharaoh"
 GREAT_PHARAOH_fem:0 "Great Pharaoh"
 PRESIDENT_fem:0 "President"
 PROTECTOR_fem:0 "Protector"
 SYNDIC_fem:0 "Syndic"
 GRAND_SYNDIC_fem:0 "Grand Syndic"
 TYRANT_fem:0 "Tyrant"
 CAPTAIN_DEFENDER:0 "Captain & Defender"
 CAPTAIN_DEFENDER_fem:0 "Captain & Defender"
 MUGO:0 "Mugo"
 GREAT_MUGO:0 "Great Mugo"
 MUGABE:0 "Mugabe"
 GREAT_MUGABE:0 "Great Mugabe"
 MWAMI:0 "Mwami"
 UMUGABEKAZI:0 "Umugabekazi"
 OMUKAMA:0 "Omukama"
 GREAT_OMUKAMA:0 "Great Omukama"
 MULOPWE:0 "Mulopwe"
 MULOPWE_fem:0 "Mulopwe"
 GREAT_MULOPWE:0 "Great Mulopwe"
 GREAT_MULOPWE_fem:0 "Great Mulopwe"
 MWENEMUTAPA:0 "Mwenemutapa"
 MWENEMUTAPA_fem:0 "Mwenemutapa"
 GREAT_MWENEMUTAPA:0 "Great Mwenemutapa"
 GREAT_MWENEMUTAPA_fem:0 "Great Mwenemutapa"
 MAMBO:0 "Mambo"
 GRAND_MAMBO:0 "Grand Mambo"
 GREAT_MAMBO:0 "Great Mambo"
 KABAKA:0 "Kabaka"
 GREAT_KABAKA:0 "Great Kabaka"
 NNABAGEREKA:0 "Nnabagereka"
 GREAT_NNABAGEREKA:0 "Great Nnabagereka"
 BALOPWE:0 "Balopwe"
 BALOPWE_fem:0 "Balopwe"
 BAKUNGU:0 "Bakungu"
 ANDRIANONI:0 "Andrianoni"
 GRAND_ANDRIANONI:0 "Grand Andrianoni"
 GREAT_ANDRIANONI:0 "Great Andrianoni"
 FILOHANY:0 "Filohany"
 MPANJAKE_BE:0 "Mpanjake-be"
 ATIO:0 "Atio"
 ATIO_FEM:0 "Atio"
 TATKISHO:0 "Tatkisho"
 TATKISHO_FEM:0 "Tatkisho"
 TATO:0 "Tato"
 TATO_FEM:0 "Tato"
 PRINCE_CONSORT:0 "Prince-Consort"
 QUEEN_CONSORT:0 "Queen-Consort"
 EMPRESS_CONSORT:0 "Empress-Consort"
 ELECTRESS:0 "Electress"
 ELECTOR:0 "Elector"
